#Sample	H3K4me3&H3K27ac	H3K4me3&H3K27me3	H3K4me3&EZH2	H3K4me3&EED	H3K4me3&SUZ12	H3K4me3&AEBP2	H3K4me3&MED12	H3K4me3&CycC	H3K4me3&H3K27M	H3K4me3&EGFR	H3K4me3&HA-Tag	H3K27ac&H3K27me3	H3K27ac&EZH2	H3K27ac&EED	H3K27ac&SUZ12	H3K27ac&AEBP2	H3K27ac&MED12	H3K27ac&CycC	H3K27ac&H3K27M	H3K27ac&EGFR	H3K27ac&HA-Tag	H3K27me3&EZH2	H3K27me3&EED	H3K27me3&SUZ12	H3K27me3&AEBP2	H3K27me3&MED12	H3K27me3&CycC	H3K27me3&H3K27M	H3K27me3&EGFR	H3K27me3&HA-Tag	EZH2&EED	EZH2&SUZ12	EZH2&AEBP2	EZH2&MED12	EZH2&CycC	EZH2&H3K27M	EZH2&EGFR	EZH2&HA-Tag	EED&SUZ12	EED&AEBP2	EED&MED12	EED&CycC	EED&H3K27M	EED&EGFR	EED&HA-Tag	SUZ12&AEBP2	SUZ12&MED12	SUZ12&CycC	SUZ12&H3K27M	SUZ12&EGFR	SUZ12&HA-Tag	AEBP2&MED12	AEBP2&CycC	AEBP2&H3K27M	AEBP2&EGFR	AEBP2&HA-Tag	MED12&CycC	MED12&H3K27M	MED12&EGFR	MED12&HA-Tag	CycC&H3K27M	CycC&EGFR	CycC&HA-Tag	H3K27M&EGFR	H3K27M&HA-Tag	EGFR&HA-Tag
Prod_HEK_DMSO1	705.0	214.0	106.0	245.0	274.0	32.0	49.0	163.0	47.0	25.0	19.0	219.0	110.0	227.0	428.0	54.0	67.0	201.0	246.0	32.0	30.0	350.0	979.0	948.0	91.0	93.0	331.0	79.0	110.0	25.0	11366.0	11518.0	1059.0	44.0	109.0	34.0	21.0	6.0	14897.0	1569.0	104.0	282.0	70.0	37.0	28.0	4902.0	148.0	393.0	108.0	65.0	37.0	17.0	44.0	15.0	4.0	12.0	2481.0	12.0	9.0	6.0	52.0	18.0	26.0	8.0	193.0	5.0
Prod_HEK_DMSO2	680.0	357.0	130.0	311.0	346.0	50.0	56.0	174.0	62.0	29.0	18.0	344.0	118.0	236.0	403.0	51.0	67.0	190.0	145.0	19.0	31.0	492.0	1211.0	1151.0	129.0	149.0	494.0	104.0	114.0	61.0	11346.0	11513.0	995.0	51.0	106.0	51.0	24.0	15.0	14326.0	1382.0	103.0	310.0	73.0	33.0	28.0	4240.0	185.0	468.0	96.0	48.0	56.0	20.0	52.0	15.0	7.0	11.0	2573.0	16.0	15.0	5.0	51.0	29.0	29.0	10.0	189.0	6.0
Prod_HEK_Taz1	1147.0	36.0	162.0	356.0	366.0	53.0	49.0	216.0	81.0	45.0	30.0	231.0	287.0	708.0	1130.0	153.0	166.0	528.0	322.0	76.0	80.0	78.0	188.0	194.0	25.0	21.0	85.0	58.0	80.0	28.0	11567.0	11174.0	862.0	53.0	123.0	60.0	45.0	16.0	14526.0	1443.0	114.0	369.0	89.0	50.0	57.0	4192.0	216.0	561.0	175.0	93.0	97.0	20.0	61.0	28.0	23.0	23.0	2690.0	26.0	18.0	6.0	68.0	32.0	39.0	19.0	273.0	7.0
Prod_HEK_Taz2	1138.0	49.0	122.0	365.0	362.0	68.0	61.0	195.0	99.0	50.0	19.0	187.0	327.0	707.0	1013.0	118.0	147.0	498.0	327.0	99.0	67.0	84.0	151.0	182.0	38.0	38.0	91.0	52.0	67.0	9.0	11211.0	11090.0	792.0	58.0	118.0	70.0	49.0	19.0	15263.0	1425.0	118.0	331.0	99.0	73.0	35.0	4260.0	194.0	592.0	139.0	83.0	84.0	25.0	67.0	20.0	11.0	12.0	2790.0	27.0	3.0	15.0	55.0	42.0	28.0	11.0	245.0	12.0
