#Sample	H3K4me3&H3K27ac	H3K4me3&H3K27me3	H3K4me3&EZH2	H3K4me3&EED	H3K4me3&SUZ12	H3K4me3&AEBP2	H3K4me3&MED12	H3K4me3&CycC	H3K4me3&H3K27M	H3K4me3&EGFR	H3K27ac&H3K27me3	H3K27ac&EZH2	H3K27ac&EED	H3K27ac&SUZ12	H3K27ac&AEBP2	H3K27ac&MED12	H3K27ac&CycC	H3K27ac&H3K27M	H3K27ac&EGFR	H3K27me3&EZH2	H3K27me3&EED	H3K27me3&SUZ12	H3K27me3&AEBP2	H3K27me3&MED12	H3K27me3&CycC	H3K27me3&H3K27M	H3K27me3&EGFR	EZH2&EED	EZH2&SUZ12	EZH2&AEBP2	EZH2&MED12	EZH2&CycC	EZH2&H3K27M	EZH2&EGFR	EED&SUZ12	EED&AEBP2	EED&MED12	EED&CycC	EED&H3K27M	EED&EGFR	SUZ12&AEBP2	SUZ12&MED12	SUZ12&CycC	SUZ12&H3K27M	SUZ12&EGFR	AEBP2&MED12	AEBP2&CycC	AEBP2&H3K27M	AEBP2&EGFR	MED12&CycC	MED12&H3K27M	MED12&EGFR	CycC&H3K27M	CycC&EGFR	H3K27M&EGFR
Prod_HEK_DMSO1	578.4845787026397	558.0040195126782	480.1778945908243	570.2923550266551	607.1573615685859	504.7545656187781	480.1778945908243	562.1001313506705	1246.1508082953865	476.08178275283194	603.0612497305935	525.2351248087397	615.3495852445706	652.2145917865013	549.8117958366936	525.2351248087397	607.1573615685859	1291.2080385133017	521.1390129707473	504.7545656187781	594.869026054609	631.7340325965397	529.331236646732	504.7545656187781	586.6768023786243	1270.7274793233403	500.6584537807858	517.0429011327551	553.9079076746858	451.5051117248781	426.9284406969242	508.8506774567704	1192.9013544014863	422.8323288589319	644.0223681105167	541.6195721607089	517.0429011327551	598.9651378926012	1283.015814837317	512.9467892947628	578.4845787026397	553.9079076746858	635.830144434532	1319.880821379248	549.8117958366936	451.5051117248781	533.4273484847242	1217.47802542944	447.4089998868858	508.8506774567704	1192.9013544014863	422.8323288589319	1274.8235911613324	504.7545656187781	1188.805242563494
Prod_HEK_DMSO2	578.4845787026397	701.367933842409	512.9467892947628	566.1962431886627	680.8873746524475	496.5623419427935	471.9856709148396	570.2923550266551	1225.6702491054248	476.08178275283194	754.6173877363091	566.1962431886627	619.4456970825628	734.1368285463475	549.8117958366936	525.2351248087397	623.5418089205551	1278.9197029993247	529.331236646732	689.0795983284321	742.3290522223322	857.0201836861169	672.6951509764629	648.118479948509	746.4251640603245	1401.8030581390942	652.2145917865013	553.9079076746858	668.5990391384705	484.27400642881656	459.6973354008627	558.0040195126782	1213.3819135914478	463.79344723885504	721.8484930323706	537.5234603227166	512.9467892947628	611.2534734065782	1266.631367485348	517.0429011327551	652.2145917865013	627.6379207585475	725.9446048703629	1381.3224989491328	631.7340325965397	443.31288804889346	541.6195721607089	1196.9974662394786	447.4089998868858	517.0429011327551	1172.4207952115248	422.8323288589319	1270.7274793233403	521.1390129707473	1176.5169070495172
Prod_HEK_Taz1	828.3474008201706	615.3495852445706	566.1962431886627	734.1368285463475	897.9813020660399	594.869026054609	525.2351248087397	660.406815462486	1618.8969855526866	529.331236646732	820.155177144186	771.0018350882783	938.9424204459631	1102.7868939656555	799.6746179542245	730.0407167083551	865.2124073621014	1823.7025774523022	734.1368285463475	558.0040195126782	725.9446048703629	889.7890783900554	586.6768023786243	517.0429011327551	652.2145917865013	1610.704761876702	521.1390129707473	676.7912628144552	840.6357363341476	537.5234603227166	467.8895590768473	603.0612497305935	1561.5514198207943	471.9856709148396	1008.5763216918324	705.4640456804013	635.830144434532	771.0018350882783	1729.492005178479	639.9262562725244	869.3085192000938	799.6746179542245	934.8463086079707	1893.3364786981715	803.7707297922168	496.5623419427935	631.7340325965397	1590.2242026867405	500.6584537807858	562.1001313506705	1520.5903014408711	431.02455253491655	1655.7619920946174	566.1962431886627	1524.6864132788635
Prod_HEK_Taz2	730.0407167083551	492.4662301048012	533.4273484847242	598.9651378926012	799.6746179542245	504.7545656187781	517.0429011327551	570.2923550266551	1459.1486238709865	504.7545656187781	689.0795983284321	730.0407167083551	795.5785061162321	996.2879861778554	701.367933842409	713.656269356386	766.905723250286	1655.7619920946174	701.367933842409	492.4662301048012	558.0040195126782	758.7134995743014	463.79344723885504	476.08178275283194	529.331236646732	1418.1875054910633	463.79344723885504	598.9651378926012	799.6746179542245	504.7545656187781	517.0429011327551	570.2923550266551	1459.1486238709865	504.7545656187781	865.2124073621014	570.2923550266551	582.5806905406321	635.830144434532	1524.6864132788635	570.2923550266551	771.0018350882783	783.2901706022552	836.5396244961553	1725.3958933404867	771.0018350882783	488.37011826680884	541.6195721607089	1430.4758410050404	476.08178275283194	553.9079076746858	1442.7641765190174	488.37011826680884	1496.0136304129173	541.6195721607089	1430.4758410050404
